id,date,time_start,time_finish,species,prey,location,pred_size,prey_captured,prey_size,sim_enc,sand,ripple,water,slope,temp,temp_time,low_tide,tide_ht,A+,A,A?,P,PC,S,B,PIT,TF,FOT,OTE,Events
235,15-08-85,12:55,12:59,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
236,15-08-85,13:00,13:11,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
237,15-08-85,13:25,13:43,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
238,16-08-85,12:12,12:16,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
239,16-08-85,12:17,12:33,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
240,16-08-85,12:44,12:49,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
241,16-08-85,12:50,13:07,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
242,16-08-85,13:19,13:26,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
243,16-08-85,13:29,13:39,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
244,26-08-85,10:27,10:31,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
245,26-08-85,10:36,10:46,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
246,26-08-85,10:49,10:53,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
247,26-08-85,10:54,11:10,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
248,27-08-85,11:52,11:57,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
249,27-08-85,12:00,12:05,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
250,27-08-85,11:06,11:11,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
251,27-08-85,11:13,11:43,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
252,27-08-85,12:25,12:27,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
253,27-08-85,12:29,12:40,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
254,29-08-85,12:02,12:12,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
255,29-08-85,12:15,12:38,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
256,29-08-85,12:46,12:51,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
257,29-08-85,12:52,13:18,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
258,29-08-85,13:31,13:36,1,1,T4,,,,,,,,,,,,,,,,,,,,,,,,
259,10-09-85,11:54,11:59,1,1,T3,,,,,,,,,,,,,,,,,,,,,,,,
260,10-09-85,12:00,12:05,1,1,T3,,,,,,,,,,,,,,,,,,,,,,,,
261,10-09-85,12:09,12:13,1,1,T3,,,,,,,,,,,,,,,,,,,,,,,,
262,10-09-85,12:13,12:19,1,1,T3,,,,,,,,,,,,,,,,,,,,,,,,
263,11-09-85,11:10,11:14,1,1,T3,,,,,,,,,,,,,,,,,,,,,,,,
